Hidden Layer Size: 5, Learning Rate: 0.0005, Loss: 0.475114434958, Acc: 0.844444453716
Hidden Layer Size: 5, Learning Rate: 0.0006, Loss: 0.026302549988, Acc: 1.0
Hidden Layer Size: 5, Learning Rate: 0.0007, Loss: 0.0495542511344, Acc: 1.0
Hidden Layer Size: 5, Learning Rate: 0.0008, Loss: 0.0875896066427, Acc: 0.977777779102
Hidden Layer Size: 5, Learning Rate: 0.0009, Loss: 0.63514906168, Acc: 0.822222232819
Hidden Layer Size: 5, Learning Rate: 0.001, Loss: 0.167467802763, Acc: 0.933333337307
Hidden Layer Size: 5, Learning Rate: 0.002, Loss: 0.956147253513, Acc: 0.688888907433
Hidden Layer Size: 5, Learning Rate: 0.003, Loss: 0.00512025039643, Acc: 1.0
Hidden Layer Size: 5, Learning Rate: 0.004, Loss: 0.00278566847555, Acc: 1.0
Hidden Layer Size: 5, Learning Rate: 0.005, Loss: 0.0444933138788, Acc: 1.0
Hidden Layer Size: 10, Learning Rate: 0.0005, Loss: 0.341970235109, Acc: 0.888888895512
Hidden Layer Size: 10, Learning Rate: 0.0006, Loss: 0.00439321808517, Acc: 1.0
Hidden Layer Size: 10, Learning Rate: 0.0007, Loss: 0.0145157361403, Acc: 1.0
Hidden Layer Size: 10, Learning Rate: 0.0008, Loss: 1.03638648987, Acc: 0.688888907433
Hidden Layer Size: 10, Learning Rate: 0.0009, Loss: 0.621715903282, Acc: 0.800000011921
Hidden Layer Size: 10, Learning Rate: 0.001, Loss: 0.0268228854984, Acc: 1.0
Hidden Layer Size: 10, Learning Rate: 0.002, Loss: 0.0462314970791, Acc: 0.977777779102
Hidden Layer Size: 10, Learning Rate: 0.003, Loss: 0.291805058718, Acc: 0.888888895512
Hidden Layer Size: 10, Learning Rate: 0.004, Loss: 0.045337215066, Acc: 0.977777779102
Hidden Layer Size: 10, Learning Rate: 0.005, Loss: 0.00038850819692, Acc: 1.0
Hidden Layer Size: 15, Learning Rate: 0.0005, Loss: 0.669189095497, Acc: 0.800000011921
Hidden Layer Size: 15, Learning Rate: 0.0006, Loss: 0.158870056272, Acc: 0.933333337307
Hidden Layer Size: 15, Learning Rate: 0.0007, Loss: 0.0912158191204, Acc: 0.977777779102
Hidden Layer Size: 15, Learning Rate: 0.0008, Loss: 0.358477473259, Acc: 0.888888895512
Hidden Layer Size: 15, Learning Rate: 0.0009, Loss: 0.102195441723, Acc: 0.955555558205
Hidden Layer Size: 15, Learning Rate: 0.001, Loss: 0.00276197190396, Acc: 1.0
Hidden Layer Size: 15, Learning Rate: 0.002, Loss: 0.259247153997, Acc: 0.933333337307
Hidden Layer Size: 15, Learning Rate: 0.003, Loss: 1.25586748123, Acc: 0.600000023842
Hidden Layer Size: 15, Learning Rate: 0.004, Loss: 0.964778840542, Acc: 0.62222224474
Hidden Layer Size: 15, Learning Rate: 0.005, Loss: 0.000378156895749, Acc: 1.0
Hidden Layer Size: 20, Learning Rate: 0.0005, Loss: 0.00909051019698, Acc: 1.0
Hidden Layer Size: 20, Learning Rate: 0.0006, Loss: 0.232092469931, Acc: 0.933333337307
Hidden Layer Size: 20, Learning Rate: 0.0007, Loss: 0.612448334694, Acc: 0.822222232819
Hidden Layer Size: 20, Learning Rate: 0.0008, Loss: 0.995012402534, Acc: 0.71111112833
Hidden Layer Size: 20, Learning Rate: 0.0009, Loss: 0.570769608021, Acc: 0.800000011921
Hidden Layer Size: 20, Learning Rate: 0.001, Loss: 0.00432369718328, Acc: 1.0
Hidden Layer Size: 20, Learning Rate: 0.002, Loss: 1.04812312126, Acc: 0.71111112833
Hidden Layer Size: 20, Learning Rate: 0.003, Loss: 0.110825195909, Acc: 0.955555558205
Hidden Layer Size: 20, Learning Rate: 0.004, Loss: 0.00170521647669, Acc: 1.0
Hidden Layer Size: 20, Learning Rate: 0.005, Loss: 0.5587246418, Acc: 0.844444453716
Hidden Layer Size: 25, Learning Rate: 0.0005, Loss: 0.262922823429, Acc: 0.888888895512
Hidden Layer Size: 25, Learning Rate: 0.0006, Loss: 0.69589972496, Acc: 0.800000011921
Hidden Layer Size: 25, Learning Rate: 0.0007, Loss: 0.00435167457908, Acc: 1.0
Hidden Layer Size: 25, Learning Rate: 0.0008, Loss: 0.0334066078067, Acc: 1.0
Hidden Layer Size: 25, Learning Rate: 0.0009, Loss: 0.150789573789, Acc: 0.955555558205
Hidden Layer Size: 25, Learning Rate: 0.001, Loss: 0.211983218789, Acc: 0.977777779102
Hidden Layer Size: 25, Learning Rate: 0.002, Loss: 0.349612772465, Acc: 0.866666674614
Hidden Layer Size: 25, Learning Rate: 0.003, Loss: 0.000848132942338, Acc: 1.0
Hidden Layer Size: 25, Learning Rate: 0.004, Loss: 0.0026410294231, Acc: 1.0
Hidden Layer Size: 25, Learning Rate: 0.005, Loss: 0.174082055688, Acc: 0.933333337307
