Hidden Layer Size: 5, Learning Rate: 0.001, Loss: 1.65333795547, Acc: 0.421319782734
Hidden Layer Size: 5, Learning Rate: 0.005, Loss: 1.00775969028, Acc: 0.60406088829
Hidden Layer Size: 5, Learning Rate: 0.01, Loss: 1.89648079872, Acc: 0.406091362238
Hidden Layer Size: 5, Learning Rate: 0.05, Loss: 1.89649307728, Acc: 0.406091362238
Hidden Layer Size: 5, Learning Rate: 0.1, Loss: 1.89648962021, Acc: 0.406091362238
Hidden Layer Size: 5, Learning Rate: 0.5, Loss: 1.89651453495, Acc: 0.406091362238
Hidden Layer Size: 10, Learning Rate: 0.001, Loss: 1.25259113312, Acc: 0.573604047298
Hidden Layer Size: 10, Learning Rate: 0.005, Loss: 0.986815392971, Acc: 0.654822349548
Hidden Layer Size: 10, Learning Rate: 0.01, Loss: 1.65945076942, Acc: 0.421319782734
Hidden Layer Size: 10, Learning Rate: 0.05, Loss: 1.89648067951, Acc: 0.406091362238
Hidden Layer Size: 10, Learning Rate: 0.1, Loss: 1.89677393436, Acc: 0.406091362238
Hidden Layer Size: 10, Learning Rate: 0.5, Loss: 1.89810168743, Acc: 0.406091362238
Hidden Layer Size: 15, Learning Rate: 0.001, Loss: 1.20310330391, Acc: 0.614213168621
Hidden Layer Size: 15, Learning Rate: 0.005, Loss: 1.66638946533, Acc: 0.406091362238
Hidden Layer Size: 15, Learning Rate: 0.01, Loss: 1.89648222923, Acc: 0.406091362238
Hidden Layer Size: 15, Learning Rate: 0.05, Loss: 1.89648842812, Acc: 0.406091362238
Hidden Layer Size: 15, Learning Rate: 0.1, Loss: 1.89648330212, Acc: 0.406091362238
Hidden Layer Size: 15, Learning Rate: 0.5, Loss: 1.89991104603, Acc: 0.406091362238
Hidden Layer Size: 20, Learning Rate: 0.001, Loss: 1.47585916519, Acc: 0.517766475677
Hidden Layer Size: 20, Learning Rate: 0.005, Loss: 1.89648449421, Acc: 0.406091362238
Hidden Layer Size: 20, Learning Rate: 0.01, Loss: 1.89648234844, Acc: 0.406091362238
Hidden Layer Size: 20, Learning Rate: 0.05, Loss: 1.89648115635, Acc: 0.406091362238
Hidden Layer Size: 20, Learning Rate: 0.1, Loss: 1.89657366276, Acc: 0.406091362238
Hidden Layer Size: 20, Learning Rate: 0.5, Loss: 1.89758360386, Acc: 0.406091362238
Hidden Layer Size: 25, Learning Rate: 0.001, Loss: 1.89652001858, Acc: 0.406091362238
Hidden Layer Size: 25, Learning Rate: 0.005, Loss: 1.89648866653, Acc: 0.406091362238
Hidden Layer Size: 25, Learning Rate: 0.01, Loss: 1.89648091793, Acc: 0.406091362238
Hidden Layer Size: 25, Learning Rate: 0.05, Loss: 1.89690041542, Acc: 0.406091362238
Hidden Layer Size: 25, Learning Rate: 0.1, Loss: 1.89654326439, Acc: 0.406091362238
Hidden Layer Size: 25, Learning Rate: 0.5, Loss: 1.90022087097, Acc: 0.406091362238
Hidden Layer Size: 30, Learning Rate: 0.001, Loss: 1.35187125206, Acc: 0.588832497597
Hidden Layer Size: 30, Learning Rate: 0.005, Loss: 1.89649999142, Acc: 0.406091362238
Hidden Layer Size: 30, Learning Rate: 0.01, Loss: 1.89648079872, Acc: 0.406091362238
Hidden Layer Size: 30, Learning Rate: 0.05, Loss: 1.89649426937, Acc: 0.406091362238
Hidden Layer Size: 30, Learning Rate: 0.1, Loss: 1.89656746387, Acc: 0.406091362238
Hidden Layer Size: 30, Learning Rate: 0.5, Loss: 1.90609633923, Acc: 0.406091362238
Hidden Layer Size: 35, Learning Rate: 0.001, Loss: 1.64804756641, Acc: 0.446700513363
Hidden Layer Size: 35, Learning Rate: 0.005, Loss: 1.89648544788, Acc: 0.406091362238
Hidden Layer Size: 35, Learning Rate: 0.01, Loss: 1.89648270607, Acc: 0.406091362238
Hidden Layer Size: 35, Learning Rate: 0.05, Loss: 1.89648592472, Acc: 0.406091362238
Hidden Layer Size: 35, Learning Rate: 0.1, Loss: 1.89648342133, Acc: 0.406091362238
Hidden Layer Size: 35, Learning Rate: 0.5, Loss: 1.90139257908, Acc: 0.406091362238
